RDF,Out_Degree,In_Degree,Degree
Q7918,18,17,35
Q7922,0,5,5
Q7934,24,2,26
Q7942,2,0,2
Q7976,7,138,145
Q7979,3,25,28
Q7991,5,16,21
Q8006,50,12,62
Q8007,34,7,41
Q8008,8,6,14
Q8011,45,3,48
Q8016,71,10,81
Q8018,41,7,48
Q8023,44,4,48
Q8027,39,6,45
Q8054,7,1,8
Q8060,13,2,15
Q8065,1,1,2
Q8066,3,8,11
Q8072,10,2,12
Q8078,15,8,23
Q8080,4,2,6
Q8088,5,2,7
Q8093,17,5,22
Q8097,13,39,52
Q8098,5,1,6
Q8108,14,6,20
Q8111,6,2,8
Q8118,5,1,6
Q8128,20,1,21
Q8132,4,2,6
Q8134,16,15,31
Q8138,5,2,7
Q8142,7,13,20
Q8143,6,2,8
Q8146,6,4,10
Q8148,0,7,7
Q8150,7,1,8
Q8162,11,8,19
Q8165,8,9,17
Q8242,19,50,69
Q8253,6,14,20
Q8261,10,40,50
Q8277,9,2,11
Q8298,29,0,29
Q8311,3,1,4
Q8312,20,8,28
Q8313,2,2,4
Q8317,4,1,5
Q8333,9,6,15
Q8338,7,29,36
Q8341,5,182,187
Q8343,10,17,27
Q8345,5,2,7
Q8347,10,4,14
Q8350,8,11,19
Q8355,11,38,49
Q8361,3,2,5
Q8371,8,20,28
Q8372,8,1,9
